tid,age_group,competition_level,n_games_scored,last_game_scored_ts
8c4e4a0ea33e27d03e4cb01a8b0c2744,Between 13 - 18,club_travel,36,2016-07-12 23:20:36
4e8f8c001b09107c61c0f821108c0217,Between 13 - 18,school,6,2017-04-22 16:03:21
fd17f81fab8e1cc9cbc7752f1f54b3dc,Between 13 - 18,school,29,2017-05-09 22:15:06.875161
4365471e76ea46a7452b854faf779e9c,Between 13 - 18,school,31,2017-05-11 22:01:16
b3a0c6d0fa61d50ead3253314673e38f,Over 18,school,54,2017-05-13 16:19:14
13ccdf2435a96a906664e2fffc19382c,Between 13 - 18,school,32,2017-05-25 21:32:29
ae629d874406b255aa281e1f31330375,Under 13,school,5,2017-06-18 18:11:50
c02411d65bb0f07f01b18a14863e3202,Under 13,recreational,14,2017-06-24 23:01:27
ddd258e62d74ff894870a791a4c4c491,Under 13,club_travel,6,2017-07-02 16:34:30
bda43f5210f2a17cc8c29db5fcd635dd,Under 13,club_travel,20,2017-07-08 23:25:48
3a73b9a51f2d860093f724944eaf9c48,Between 13 - 18,club_travel,32,2017-07-21 01:07:04
6d58cec0050606408bc8865fa2816c5b,Between 13 - 18,club_travel,34,2017-07-29 18:54:51
6700257e369f04db52f142e9bd054672,Under 13,recreational,6,2017-07-29 20:23:00
a57f66d4a1f358e36f06193db5a4d495,Between 13 - 18,club_travel,21,2017-09-14 17:11:34.260113
d13d44dad7806f9e4e7a57e5ddbbb57a,Under 13,school,6,2017-10-26 00:17:45
0382a60c0a503ce85d565c30b466331a,Under 13,club_travel,10,2017-10-27 00:15:44
a15d83674e26faf2b96b5d8f7aa49cfb,Between 13 - 18,club_travel,4,2018-03-04 13:23:58
be40b1b5b361ff7726322fb121bae8b5,Between 13 - 18,school,3,2018-03-16 21:29:00
ab065913f4ffbae8c14cfed1c3be70ea,Under 13,club_travel,9,2018-03-25 01:42:49
f8c38e087d8a4345ec80e69ea6da1494,Between 13 - 18,school,16,2018-04-12 21:43:48
8c1079530062f3ace163f0cf55168a28,Over 18,school,38,2018-05-05 20:06:02
c688afc243b53eeab671c044b5a8561a,Between 13 - 18,school,37,2018-05-06 00:34:57
ed98221b5aa09afc1b81de8a9470b45a,Under 13,recreational,1,2018-05-07 22:56:51
dd8995b7fd8b2e027d968cf5a71fb0a6,Between 13 - 18,school,26,2018-05-11 22:54:49.494999
cda7ac990275360e245613027ef594da,Between 13 - 18,school,18,2018-05-17 21:30:57
b4f82e63bd12ccfecd7a73d351c2c514,Under 13,club_travel,12,2018-05-19 13:16:10
37d5690ea0193e23a1551265535b3632,Between 13 - 18,school,25,2018-05-19 16:07:32
115958416fe9e8aee1897b6490c8194d,Between 13 - 18,school,28,2018-05-19 16:43:59
34fde54943e7ecc10eea908b549d0841,Between 13 - 18,school,29,2018-05-20 18:44:41
5c932b583311b64993a4043cef71e7cb,Under 13,recreational,16,2018-05-24 19:41:02
000cd958a5012594127002fa14e2fd4d,Between 13 - 18,club_travel,18,2018-05-27 02:20:22
69a90fe28cad95ed197b083a1e188933,Between 13 - 18,school,32,2018-06-02 13:50:15.136278
59d3d28b1a40582feca72f84afcb7f29,Under 13,club_travel,28,2018-06-03 14:38:15
1fddfcee153a88887ff9d1d332a9a311,Under 13,recreational,14,2018-06-09 15:38:38
eed555abc75bcd6c888d6fff41968599,Under 13,club_travel,24,2018-06-23 15:19:24
d54f93757d9b954309eb7adb5bb69b65,Under 13,club_travel,13,2018-06-24 16:51:27
7e76184da3b9cbf199c87ef4b4e87925,Under 13,club_travel,30,2018-06-24 18:34:37.191345
9a7d0aab7b132d66a189c32ff7f3fa06,Under 13,club_travel,44,2018-06-24 21:45:15
d030a4c6b0b110c90c4d6fdd083f2b2d,Between 13 - 18,club_travel,40,2018-07-10 20:32:43.540826
30f6fb4dfc3002d57f94165a9534122a,Under 13,club_travel,128,2018-07-14 12:55:25
45dc623b808ae71e489df59a4933cbe1,Under 13,club_travel,48,2018-07-15 15:50:41
571aa91df309385590d8675b91a6f105,Under 13,club_travel,30,2018-07-15 21:50:49
d6272d78d0e4333d6de0a94f3f48aa66,Between 13 - 18,school,25,2018-07-16 00:15:46
f9e27a5c629780447fffe3c50a375390,Under 13,recreational,8,2018-07-19 21:22:04
f1641fd31685aac3d57eaaf3260cd230,Between 13 - 18,club_travel,64,2018-07-21 22:36:37
0cf236d232d88618a806872d4eb10692,Under 13,club_travel,35,2018-07-22 16:57:45
8868c5c53629be9ba5967cbabbee6187,Under 13,club_travel,29,2018-07-25 20:15:24
bd8b1d5195ec802ad44b75275815e792,Under 13,club_travel,16,2018-07-29 15:41:51
695aa1c0470303861fb5db86c4021c43,Between 13 - 18,club_travel,24,2018-07-29 16:43:17.475998
e559b0c6ae0fdf3d851581bbd0eab0a5,Between 13 - 18,club_travel,28,2018-07-29 20:55:55
bbfbb8ecbc09b685aec7f120523cbd3e,Between 13 - 18,club_travel,20,2018-08-05 17:30:44.955624
a1c6dee542f0c39a2e349407b3e98b48,Between 13 - 18,club_travel,50,2018-08-05 18:47:30
eb4c90043f86b59888ae14ce1b367bb2,Under 13,club_travel,8,2018-08-23 13:53:54.336413
14de1a9fc0060e991b63431e7de7bae0,Between 13 - 18,school,14,2018-09-10 21:19:22
711d0215b8900b6754839ab7e90d2c9d,Under 13,club_travel,7,2018-09-24 01:16:21
54986fca0433cba9a82de50d43013180,Under 13,club_travel,25,2018-09-29 14:56:15
c2ef223e9ce9b7f26f9312ede981508b,Under 13,recreational,18,2018-09-30 17:06:57
8afdb9c0005d7f38a224c591830d2098,Under 13,recreational,4,2018-10-04 23:27:35
44da3a7820a1c46d3331df8128152860,Under 13,club_travel,11,2018-10-14 01:00:22
e08179c706f51b0503d243a002c5d273,Between 13 - 18,club_travel,17,2018-10-14 21:42:01
555e8441292e9d28c5526e90bf9e6a6c,Under 13,recreational,7,2018-10-20 21:55:36.100819
45ab33223bfb01cfb256a90fc6dda32c,Under 13,club_travel,8,2018-10-21 17:57:36
d79715c3a449fe0e82c2ddc89b839354,Under 13,club_travel,4,2018-10-21 18:42:35
8d06253be811fbc63b8d821df45c2228,Under 13,club_travel,17,2018-10-21 20:14:38
abd3c7acbdc75fbf358fd23ae54d6ddd,Under 13,club_travel,9,2018-10-28 17:53:53
e7132183100c0803fea18b1703e9b510,Under 13,club_travel,10,2018-11-04 19:14:18
34467229f11cf7f589c1fd3223a8d491,Under 13,club_travel,23,2018-11-04 20:32:45
1c26d56f25fafe9339eb5446e2a8e380,Between 13 - 18,club_travel,18,2018-12-02 17:28:34.515498
9abf5e138df41e79635dd37a26830212,Between 13 - 18,club_travel,4,2019-01-20 18:18:24.896726
9ff6c9369ed023135a039d44f0aede20,Between 13 - 18,club_travel,35,2019-02-16 21:05:35
667dc0b2dced17257f616bbdc707c65c,Between 13 - 18,club_travel,4,2019-03-03 22:52:06
4dae0239e5bd15278c88d664aa2e4468,Under 13,club_travel,30,2019-03-24 19:24:03
450c95652e3dadeee15613c450a3d5ac,Between 13 - 18,club_travel,6,2019-03-26 16:04:53
ffd25ffdc43c3a1a3175b567487763eb,Under 13,club_travel,13,2019-03-31 19:18:32
cb130a7aff8b30f715144cfc1592df0e,Under 13,club_travel,17,2019-03-31 21:34:16
ea750c9dc08a7ab241084a9f5d33711d,Between 13 - 18,school,1,2019-04-02 21:11:00
78e862547b12d0002ae55af6ab9325f2,Under 13,recreational,4,2019-04-13 18:48:14
02970ed74f661035962152b3db2a3be2,Between 13 - 18,school,16,2019-04-13 23:52:16
ac24ca7182b81c062c84758bc758d1be,Under 13,club_travel,5,2019-04-14 17:13:34.548998
0f9c1e97cafc41c649ab95f3be43ce84,Under 13,club_travel,16,2019-04-14 19:10:53
e9f28f3eeec8515c3100e9a9b9a65921,Under 13,recreational,6,2019-04-25 23:44:03
acb65ce84fe82c28258bf3ded20c8bfb,Between 13 - 18,school,29,2019-04-30 00:33:56
de8b658c900869e30f85dd1b61794339,Between 13 - 18,school,17,2019-05-10 21:10:04
89636a4dce23eed684eface26eeb217c,Between 13 - 18,school,18,2019-05-14 20:55:28
c4b3f55583c65d57714385c61046457c,Between 13 - 18,school,26,2019-05-15 01:42:27
6bb01414360ef02e1ace5fb543ec9fd2,Between 13 - 18,school,24,2019-05-16 20:11:38
424fa958f3328fdcae6e510f08cb881a,Under 13,recreational,20,2019-05-16 23:11:54.198685
4943b824d91649718f517631408a7a42,Between 13 - 18,school,31,2019-05-18 13:20:08
6ab123e13ee749b4b077d33a9c2406d3,Between 13 - 18,school,26,2019-05-18 15:34:54
cdfc21d97351602c0e19fc2963084f55,Between 13 - 18,school,15,2019-05-18 19:32:19
b68c4e92dd1f458b1254b44628612342,Between 13 - 18,school,43,2019-05-19 00:06:22
1cf7cf60b5b08477f5431aa0309bbd87,Between 13 - 18,school,29,2019-05-20 19:38:18
b1a5b25db0bc1bb2bc24ec880e6cc1e5,Between 13 - 18,school,30,2019-05-21 22:28:58
b74c08b6e945fb6dc69633bbdbff2ab1,Between 13 - 18,school,30,2019-05-22 20:18:23
a798cd063bf2e0ce3e0fad7a3bb91896,Between 13 - 18,school,26,2019-05-23 23:30:12
c2407f096780324744abace15d53aeb0,Under 13,club_travel,28,2019-05-27 17:17:48
9114a6940aeedeebd75c49856e3f8a26,Between 13 - 18,school,29,2019-06-01 11:37:51
f09aeb349f8146a924fc825d92086745,Under 13,recreational,11,2019-06-01 18:59:36.843606
7888eea68f63b10233d8e89c59d78d4b,Under 13,club_travel,52,2019-06-02 18:58:38.526564
9198c694bca114065f295938e5372a27,Between 13 - 18,school,30,2019-06-03 20:07:53
37c14aec0036515c278cdee4458fedce,Under 13,recreational,3,2019-06-03 22:21:10
62e1ed950a2c361eae9ff5c585f82f11,Between 13 - 18,school,28,2019-06-04 14:29:14
861fc301d6856cfe42ebec0780506154,Between 13 - 18,school,36,2019-06-08 15:54:06
0eebe11b6f690e341b102e32a39ecf6c,Under 13,school,5,2019-06-09 20:12:24
a06008fb2a866240a080aa6dda4532bd,Under 13,recreational,11,2019-06-11 01:12:46.858124
71eb649f0ea71f4585cfc4557c283c23,Under 13,club_travel,11,2019-06-11 22:46:36
0a053d57c38c7e651f2f1dbb1863377b,Between 13 - 18,school,26,2019-06-15 20:56:12
199819d54978b5fce68d22a426b0dbbf,Under 13,club_travel,29,2019-06-16 14:38:19
e13f63b66fab6ffd9e6d68db14cb66ac,Between 13 - 18,club_travel,5,2019-06-16 15:38:03
addf18e6b346b698ecdbcaa15c5273cc,Under 13,recreational,11,2019-06-19 21:46:41.265703
2b75335d94d157cf9eb3eef21d75c343,Under 13,club_travel,30,2019-06-21 21:37:21
afe2de91fe4b161e7bc9937141fe56f9,Under 13,recreational,14,2019-06-22 14:05:27
56afdbcdbc130b9b15765f0d2c29d5ce,Under 13,recreational,21,2019-06-23 20:21:53
32408e6d65f71eb0fb5d3b5471866636,Under 13,club_travel,28,2019-06-24 02:55:07
fde9a4c6c171e7ba0b92b281eb684131,Under 13,recreational,32,2019-06-27 01:44:30.763806
c48fa8f63c24f83967701842e50f7d24,Under 13,club_travel,35,2019-06-29 13:22:05
83d14bd053e082fddbe52656160faebc,Under 13,club_travel,41,2019-06-29 21:29:26
e0e2b200d18ed84027a4239ce01ca0ca,Under 13,club_travel,17,2019-06-29 22:02:12
56eea5ead7bf0eeb93d840b9de7e7194,Under 13,club_travel,6,2019-06-30 17:09:34
44aeb33e541aabd92b2f2df91268dd35,Under 13,club_travel,12,2019-07-06 17:13:06
5b87740554ebce647dedd1d9f3d29777,Under 13,club_travel,26,2019-07-07 00:11:56
ee863fc54b0908293fa74ae1d12e91eb,Under 13,club_travel,30,2019-07-07 22:07:36
59b5e79b8aa2f6658265ec6efc46404b,Under 13,club_travel,8,2019-07-08 22:12:29
481932d13cc8535757c3a3e6f0560904,Under 13,recreational,22,2019-07-11 00:51:53
8412942a5cc7e94f4a63ddc8ea3f4485,Between 13 - 18,school,30,2019-07-11 19:06:05
e1b745e02da783b9a5bc8e94495e8fa7,Under 13,club_travel,44,2019-07-12 21:42:12
6d7bccfc6ac5afc009f2adbebb94882f,Under 13,recreational,9,2019-07-13 16:29:54
d0841493d2d904f489daa6ed966cb9a4,Under 13,club_travel,28,2019-07-13 22:45:13.076373
efcf2a66f1d295eb36ab3dd3c24feb0b,Under 13,club_travel,36,2019-07-14 11:19:17
14b3c4c5bb189f625c2766d4a4314a0c,Between 13 - 18,club_travel,30,2019-07-14 12:52:39
bd63525702d3faa6d03e5195230b9652,Under 13,club_travel,43,2019-07-14 15:57:27.138314
a1da3f343f1f13d1262eda8de5fce7e4,Under 13,club_travel,6,2019-07-16 22:13:12
9538a368619c7d310caf078152306057,Between 13 - 18,club_travel,7,2019-07-18 14:48:38
f1c23766398fad49d3818e22ff77f28a,Under 13,club_travel,24,2019-07-19 13:53:25
08171f4bcf90244fb2e85dbc2a983981,Between 13 - 18,club_travel,21,2019-07-19 19:56:05
bc39aa6f13dc86af17489e5ea92568a6,Under 13,club_travel,32,2019-07-19 22:21:11
df381ee6e08ffc156fff2d284c77ab9d,Between 13 - 18,club_travel,41,2019-07-20 14:51:19
23037172ec123eec27e08e3e6070f3c4,Under 13,club_travel,42,2019-07-20 21:22:23
8a1d9e95dcb15e33d774f3018711d141,Between 13 - 18,club_travel,39,2019-07-21 01:58:23
02d8f758a43e56a6e490c88d89d8e606,Under 13,club_travel,38,2019-07-21 13:11:50
6e41453719ce7464a0077d3b6a2977ad,Between 13 - 18,club_travel,16,2019-07-21 15:01:05.790763
d025c492f3d0c396d1837f85ba30bd46,Between 13 - 18,club_travel,43,2019-07-21 17:38:07
0fb79a265c63282d24a8e9a3b6ef5273,Between 13 - 18,club_travel,35,2019-07-23 21:38:55
f953a0fd16297b4b2590e67aed6fa5da,Under 13,recreational,20,2019-07-23 23:53:11
f90e07cf8e9ce01998e035d4e5210682,Under 13,recreational,29,2019-07-27 13:57:14
4f526aa00a9c9772feff48ad76853753,Between 13 - 18,club_travel,24,2019-07-27 14:18:08
32fe2c2f35c5978cf5faddab88d77c35,Between 13 - 18,club_travel,32,2019-07-27 16:19:57
3d50da4437c1a8b946cc3cfc000502ca,Between 13 - 18,club_travel,37,2019-07-27 22:17:59
fa650cd64faef818fa35deb0dea11b54,Under 13,club_travel,34,2019-07-28 12:55:20
cbe4138371b4ec8c42f78d520d480ffb,Under 13,club_travel,74,2019-07-28 16:16:17
dce9042df7c2f84060691d568d3cb322,Under 13,club_travel,51,2019-07-28 16:52:20
e94e80eb2687a205af99756d6d8a8a83,Between 13 - 18,club_travel,23,2019-07-28 19:17:26.282927
56a9810a369f53904555ae3a1e95a651,Under 13,club_travel,62,2019-08-02 17:05:59
c7851d992ec1fec69d5579113b293e82,Between 13 - 18,recreational,17,2019-08-04 18:40:03.837437
d3b89417f2f4f43f538ecf68a702e620,Under 13,recreational,9,2019-08-14 21:45:38
43f64b9f7eea8b7f400be8fe9c7fc3bb,Between 13 - 18,club_travel,14,2019-09-21 21:25:48
1f7ad3ae786b6112dd1f537eca2e7cae,Under 13,club_travel,72,2019-09-22 00:05:29
